barcode,name,unit
4746923047,ปากกาไวท์บอร์ด โมนามิ จัมโบ้หัวกลม หมึกน้ำเงิน (12ด้าม/กล่อง),กล่อง
FAH64008822,แปรงสีฟัน วิคตอรี่นอมอล *12ด,แพ็ค
47464012085,ไส้ปากกา Pentel 0.7มม. LR-A ดำ (12ชิ้น/กล่อง),กล่อง
FAH64000421,ธงราชินี(สท)50x75 *10ผ,แพ็ค
5586400000383,ปากกากดรูปช้าง KQEK-1073 *50ด,กล่อง
FAH64007931,"ถุงหูหิ้วตราดาวปีกส้ม หนา 15""x30"" *10ห",มัด
47466016637,แฟ้มซองกระดุม Elephant 425F ส้ม (12ชิ้น/แพ็ค),แพ็ค
8851907273941,ควอนตั้มปากกาสเก็ต จอลลี่0.7 แดง *50ด,กระปุก
FAH64000898,ลวดเย็บกระดาษ deli 23/13 No.0013 (5กล่อง/แพ็ค),แพ็ค
FAH64000360,ธงราชินี(สท)60x90 *10ผ,แพ็ค
FAH64000088,บิลส่งของชั่วคราว Flamingo No.0 (10เล่ม/แพ็ค),แพ็ค
4746617484,แฟ้มซองพลาสติก Elephant 405A4 ส้ม (12ชิ้น/แพ็ค),แพ็ค
4746617952,กระดาษลิตมัสสีน้ำเงิน *100ช,หลอด
47465014736,ปากกา flexoffice หมึกน้ำมัน Touchie 0.7มม. FO-GELB022 หมึกน้ำเงิน (36ด้าม/กล่อง),กล่อง
47465013870,เทปผ้าสีน้ำตาลเข้ม 1.5นิ้ว 8หลา 8ม้วน,แพ็ค
47465014648,ปากกาหมึกเจลหัวเข็มแบบกด Pentel ENERGEL BLN75-A 0.5mm. หมึกดำ (12ด้าม/กล่อง),กล่อง
FAH64000076,ปากกาไวท์บอร์ด S500 เขียวSDI *12ด,กล่อง
4740194,พู่กันแบน ไทยแหลมทอง #2 *12ท,กล่อง
FAH64001075,คลิปดำ SDI 50mm. 0222(108) (12ชิ้น/กล่อง),กล่อง
FAH64000133,เนื้อในแฟ้มประวัติพนักงานส่วนตำบล(เขียว)*25ล,แพ็ค
4746618231,ใบมีดคัตเตอร์ Elephant 9มม. No.945 (10หลอด/กล่อง),กล่อง
47464012550,ผ้าก๊อซ 4x4รถพยาบาล*10ช,กล่อง
FAH64003043,สายคล้องคอสีม่วงSTR05 *100ส,แพ็ค
4746821529,ปากกาเจล4in1 BAOKE 0.5 PC3988 หมึกน้ำเงิน ด้ามสีพาสเทลคละสี (12ด้าม/กล่อง),กล่อง
47465016289,เทปโฟมกาว2หน้า LOUIS 21mmx1เมตร*6ม้วน,แพ็ค
8851023013551,พู่กันกลม I-PAINT #8 (10ชิ้น/แพ็ค),แพ็ค
4746922800,ปากกาเจลลูลอยด์ Quantum 100HITZ 1.0mm. แบบกด หมึกน้ำเงิน ด้ามคละสี (50ด้าม/กระบอก),กระบอก
4746922382,ไม้กวาดดอกหญ้า (10ด้าม/มัด),มัด
4005401011583,ปากกาไฮไลท์แดงสะท้อนแสง เฟเบอร์ *10ด,กล่อง
4746923013,ซองซิป Bx B6 No.HX-3621 (10ใบ/แพ็ค),แพ็ค
FAH64006772,หลอดช้อน8มิลคละสี*10ห,แพ็ค
18851907148741,48741 ปากกาเจลโล่พลัส 0.7 สีแดง*12ด*ควอนตั้ม,แพ็ค
FAH64001479,คลิปบอร์ดพลาสติกA4 H-001 *12ช,กล่อง
4746719030,สบู่ลักส์ กลิ่นซอฟท์โรส สีชมพู*4ก้อน,แพ็ค
6935205334138,DLดินสอไม้นีออนHB U54600 *12ด,กล่อง
